,amount
2023-11-14 19:17:23,9.672e-05
2023-11-14 19:17:41,1.65e-05
2023-11-14 19:17:50,3.628e-05
2023-11-14 19:17:53,5.606e-05
2023-11-14 19:17:59,7.584e-05
2023-11-14 19:18:05,9.562e-05
2023-11-14 19:18:10,1.54e-05
2023-11-14 19:19:02,3.52e-05
2023-11-14 19:19:27,5.498e-05
2023-11-14 19:19:41,7.476e-05
2023-11-14 19:19:48,9.454e-05
2023-11-14 19:20:21,1.432e-05
2023-11-14 19:20:46,3.41e-05
2023-11-14 19:21:09,5.388e-05
2023-11-14 19:21:28,7.366e-05
2023-11-14 19:21:33,9.344e-05
2023-11-14 19:22:02,1.322e-05
2023-11-14 19:23:02,3.3e-05
2023-11-14 19:23:49,5.278e-05
2023-11-14 19:24:14,7.256e-05
2023-11-14 19:24:24,9.234e-05
2023-11-14 19:24:46,1.212e-05
2023-11-14 19:25:17,3.19e-05
2023-11-14 19:25:25,5.168e-05
2023-11-14 19:25:46,7.146e-05
2023-11-14 19:26:07,9.124e-05
2023-11-14 19:26:23,1.102e-05
2023-11-14 19:26:53,3.08e-05
2023-11-14 19:27:00,5.058e-05
2023-11-14 19:27:14,7.036e-05
2023-11-14 19:27:44,9.014e-05
2023-11-14 19:27:50,9.92e-06
2023-11-14 19:28:06,2.97e-05
2023-11-14 19:28:22,4.948e-05
2023-11-14 19:29:07,6.926e-05
2023-11-14 19:29:22,8.904e-05
2023-11-14 19:29:50,8.82e-06
2023-11-14 19:30:16,2.86e-05
2023-11-14 19:30:23,4.838e-05
2023-11-14 19:30:51,6.816e-05
2023-11-14 19:31:02,8.794e-05
2023-11-14 19:31:17,7.72e-06
2023-11-14 19:31:47,2.75e-05
2023-11-14 19:32:11,4.728e-05
2023-11-14 19:32:37,6.706e-05
2023-11-14 19:33:02,8.684e-05
2023-11-14 19:33:20,6.62e-06
2023-11-14 19:34:00,2.64e-05
2023-11-14 19:34:36,4.618e-05
2023-11-14 19:34:50,6.596e-05
2023-11-14 19:35:31,8.574e-05
2023-11-14 19:36:07,5.52e-06
2023-11-14 19:36:29,2.53e-05
2023-11-14 19:36:35,4.508e-05
2023-11-14 19:36:57,6.486e-05
2023-11-14 19:37:49,8.464e-05
2023-11-14 19:38:05,4.42e-06
2023-11-14 19:38:25,2.42e-05
2023-11-14 19:38:49,4.398e-05
2023-11-14 19:38:57,6.376e-05
2023-11-14 19:39:20,8.354e-05
2023-11-14 19:39:35,3.32e-06
2023-11-14 19:39:55,2.31e-05
2023-11-14 19:40:22,4.288e-05
2023-11-14 19:40:48,6.266e-05
2023-11-14 19:41:15,8.244e-05
2023-11-14 19:41:39,2.22e-06
2023-11-14 19:42:04,2.2e-05
2023-11-14 19:42:17,4.178e-05
2023-11-14 19:43:40,6.156e-05
2023-11-14 19:43:56,8.134e-05
2023-11-14 19:44:13,1.12e-06
2023-11-14 19:45:00,2.09e-05
2023-11-14 19:45:04,4.068e-05
2023-11-14 19:45:45,6.046e-05
2023-11-14 19:46:18,8.024e-05
2023-11-14 19:46:28,2e-08
2023-11-14 19:46:55,1.98e-05
2023-11-14 19:47:19,3.958e-05
2023-11-14 19:47:50,5.936e-05
2023-11-14 19:48:07,7.914e-05
2023-11-14 19:49:02,9.892e-05
2023-11-14 19:49:38,1.87e-05
2023-11-14 19:49:45,3.848e-05
2023-11-14 19:50:00,5.826e-05
2023-11-14 19:50:07,7.804e-05
2023-11-14 19:50:21,9.782e-05
2023-11-14 19:50:43,1.76e-05
2023-11-14 19:51:18,3.738e-05
2023-11-14 19:52:27,5.716e-05
2023-11-14 19:52:54,7.694e-05
2023-11-14 19:53:09,9.672e-05
2023-11-14 19:53:41,1.65e-05
2023-11-14 19:54:27,3.628e-05
2023-11-14 19:55:00,5.606e-05
2023-11-14 19:55:31,7.584e-05
2023-11-14 19:56:15,9.562e-05
2023-11-14 19:56:38,1.54e-05
2023-11-14 19:56:53,3.518e-05
2023-11-14 19:57:40,5.496e-05
2023-11-14 19:58:23,7.474e-05
2023-11-14 19:59:04,9.452e-05
2023-11-14 19:59:16,1.43e-05
2023-11-14 19:59:46,3.408e-05
2023-11-14 20:00:03,5.386e-05
2023-11-14 20:00:29,7.364e-05
2023-11-14 20:00:54,9.342e-05
2023-11-14 20:01:54,1.32e-05
2023-11-14 20:02:10,3.298e-05
2023-11-14 20:02:39,5.276e-05
2023-11-14 20:02:47,7.254e-05
2023-11-14 20:04:05,9.232e-05
2023-11-14 20:04:30,1.21e-05
2023-11-14 20:04:35,3.188e-05
2023-11-14 20:04:46,5.166e-05
2023-11-14 20:05:15,7.144e-05
2023-11-14 20:06:04,9.122e-05
2023-11-14 20:06:23,1.1e-05
2023-11-14 20:07:21,3.078e-05
2023-11-14 20:07:52,5.056e-05
2023-11-14 20:08:15,7.034e-05
2023-11-14 20:08:23,9.012e-05
2023-11-14 20:08:52,9.9e-06
2023-11-14 20:09:01,2.968e-05
2023-11-14 20:09:50,4.946e-05
2023-11-14 20:10:17,6.924e-05
2023-11-14 20:10:33,8.902e-05
2023-11-14 20:11:10,8.8e-06
2023-11-14 20:11:23,2.858e-05
2023-11-14 20:11:42,4.836e-05
2023-11-14 20:12:16,6.814e-05
2023-11-14 20:12:19,8.792e-05
2023-11-14 20:12:40,7.7e-06
2023-11-14 20:13:01,2.748e-05
2023-11-14 20:13:32,4.726e-05
2023-11-14 20:14:55,6.704e-05
2023-11-14 20:15:15,8.682e-05
2023-11-14 20:15:38,6.6e-06
2023-11-14 20:15:59,2.638e-05
2023-11-14 20:16:43,4.616e-05
2023-11-14 20:17:44,6.594e-05
2023-11-14 20:18:21,8.572e-05
2023-11-14 20:18:48,5.5e-06
2023-11-14 20:19:21,2.528e-05
2023-11-14 20:20:09,4.506e-05
2023-11-14 20:21:03,6.484e-05
2023-11-14 20:22:05,8.462e-05
2023-11-14 20:22:46,4.4e-06
2023-11-14 20:23:09,2.418e-05
2023-11-14 20:23:49,4.396e-05
2023-11-14 20:24:33,6.374e-05
2023-11-14 20:25:05,8.352e-05
2023-11-14 20:25:29,3.3e-06
2023-11-14 20:26:11,2.308e-05
2023-11-14 20:26:56,4.286e-05
2023-11-14 20:27:26,6.264e-05
2023-11-14 20:27:29,8.242e-05
2023-11-14 20:27:51,2.2e-06
2023-11-14 20:27:57,2.198e-05
2023-11-14 20:28:51,4.176e-05
2023-11-14 20:30:00,6.154e-05
2023-11-14 20:30:10,8.132e-05
2023-11-14 20:30:33,1.1e-06
2023-11-14 20:31:08,2.088e-05
2023-11-14 20:31:39,4.066e-05
2023-11-14 20:32:20,6.044e-05
2023-11-14 20:33:00,8.022e-05
2023-11-14 20:33:44,0.0001
2023-11-14 20:34:25,1.978e-05
2023-11-14 20:34:32,3.956e-05
2023-11-14 20:35:37,5.934e-05
2023-11-14 20:35:41,7.912e-05
2023-11-14 20:35:46,9.89e-05
2023-11-14 20:35:50,1.868e-05
2023-11-14 20:36:47,3.846e-05
2023-11-14 20:36:51,5.824e-05
2023-11-14 20:37:51,7.802e-05
2023-11-14 20:38:48,9.78e-05
2023-11-14 20:39:21,1.758e-05
2023-11-14 20:39:54,3.736e-05
2023-11-14 20:40:43,5.714e-05
2023-11-14 20:40:48,7.692e-05
2023-11-14 20:40:52,9.67e-05
2023-11-14 20:41:26,1.648e-05
2023-11-14 20:41:59,3.626e-05
2023-11-14 20:43:21,5.604e-05
2023-11-14 20:43:25,7.582e-05
2023-11-14 20:43:31,9.56e-05
2023-11-14 20:43:58,1.538e-05
2023-11-14 20:44:05,3.516e-05
2023-11-14 20:44:32,5.494e-05
2023-11-14 20:45:22,7.472e-05
2023-11-14 20:45:27,9.45e-05
2023-11-14 20:45:32,1.428e-05
2023-11-14 20:45:42,3.406e-05
2023-11-14 20:46:46,5.384e-05
2023-11-14 20:47:35,7.362e-05
2023-11-14 20:48:08,9.34e-05
2023-11-14 20:49:10,1.318e-05
2023-11-14 20:49:35,3.296e-05
2023-11-14 20:49:57,5.274e-05
2023-11-14 20:50:48,7.252e-05
2023-11-14 20:52:04,9.23e-05
2023-11-14 20:52:26,1.208e-05
2023-11-14 20:52:59,3.186e-05
2023-11-14 20:53:15,5.164e-05
2023-11-14 20:53:55,7.142e-05
2023-11-14 20:53:58,9.12e-05
2023-11-14 20:54:34,1.098e-05
2023-11-14 20:54:55,3.076e-05
2023-11-14 20:55:08,5.054e-05
2023-11-14 20:55:39,7.032e-05
2023-11-14 20:56:13,9.01e-05
2023-11-14 20:56:32,9.88e-06
2023-11-14 20:57:10,2.966e-05
2023-11-14 20:57:35,4.944e-05
2023-11-14 20:57:52,6.922e-05
2023-11-14 20:58:26,8.9e-05
2023-11-14 20:58:45,8.78e-06
2023-11-14 20:59:07,2.856e-05
2023-11-14 20:59:18,4.834e-05
2023-11-14 21:00:04,6.812e-05
2023-11-14 21:00:39,8.79e-05
2023-11-14 21:01:30,7.68e-06
2023-11-14 21:02:44,2.746e-05
2023-11-14 21:02:58,4.724e-05
2023-11-14 21:04:29,6.702e-05
2023-11-14 21:04:51,8.68e-05
2023-11-14 21:06:13,6.58e-06
2023-11-14 21:07:10,2.636e-05
2023-11-14 21:07:32,4.614e-05
2023-11-14 21:07:52,6.592e-05
2023-11-14 21:07:57,8.57e-05
2023-11-14 21:08:01,5.48e-06
2023-11-14 21:08:22,2.526e-05
2023-11-14 21:09:01,4.504e-05
2023-11-14 21:09:09,6.482e-05
2023-11-14 21:09:31,8.46e-05
2023-11-14 21:10:10,4.38e-06
2023-11-14 21:11:35,2.416e-05
2023-11-14 21:11:39,4.394e-05
2023-11-14 21:11:43,6.372e-05
